experiment_type,feature_name,importance_weight
DATA_LEAK,Fwd IAT Min,0.0
DATA_LEAK,Bwd IAT Total,0.0
DATA_LEAK,Bwd IAT Mean,0.0
DATA_LEAK,Bwd IAT Std,0.0
DATA_LEAK,Bwd IAT Max,0.0
DATA_LEAK,Bwd IAT Min,0.0
DATA_LEAK,Fwd PSH Flags,0.0
DATA_LEAK,Bwd PSH Flags,0.0
DATA_LEAK,Fwd URG Flags,0.0
DATA_LEAK,Bwd URG Flags,0.0
DATA_LEAK,Fwd Header Length,0.0
DATA_LEAK,Bwd Header Length,0.0
DATA_LEAK,Fwd Packets/s,0.0003741668233988908
DATA_LEAK,Bwd Packets/s,0.0002585215206322312
DATA_LEAK,Min Packet Length,0.0
DATA_LEAK,Max Packet Length,0.0
DATA_LEAK,Packet Length Mean,0.0
DATA_LEAK,Packet Length Std,0.0
DATA_LEAK,Packet Length Variance,0.0
DATA_LEAK,FIN Flag Count,0.0
DATA_LEAK,SYN Flag Count,0.0
DATA_LEAK,RST Flag Count,0.0
DATA_LEAK,PSH Flag Count,0.0
DATA_LEAK,ACK Flag Count,0.0
DATA_LEAK,URG Flag Count,0.0
DATA_LEAK,CWE Flag Count,0.0
DATA_LEAK,ECE Flag Count,0.0
DATA_LEAK,Down/Up Ratio,0.0
DATA_LEAK,Average Packet Size,7.83535261043567e-05
DATA_LEAK,Avg Fwd Segment Size,0.0
DATA_LEAK,Avg Bwd Segment Size,0.0
DATA_LEAK,Fwd Header Length.1,0.00022200165729567727
DATA_LEAK,Fwd Avg Bytes/Bulk,0.0
DATA_LEAK,Fwd Avg Packets/Bulk,0.0
DATA_LEAK,Fwd Avg Bulk Rate,0.0
DATA_LEAK,Bwd Avg Bytes/Bulk,0.0
DATA_LEAK,Bwd Avg Packets/Bulk,0.0
DATA_LEAK,Bwd Avg Bulk Rate,0.0
DATA_LEAK,Subflow Fwd Packets,0.0
DATA_LEAK,Subflow Fwd Bytes,0.0
DATA_LEAK,Subflow Bwd Packets,0.0
DATA_LEAK,Subflow Bwd Bytes,0.0
DATA_LEAK,Init_Win_bytes_forward,0.002580297424734241
DATA_LEAK,Init_Win_bytes_backward,0.0
DATA_LEAK,act_data_pkt_fwd,0.0
DATA_LEAK,min_seg_size_forward,0.0
DATA_LEAK,Active Mean,0.0
DATA_LEAK,Active Std,0.0
DATA_LEAK,Active Max,0.0
DATA_LEAK,Active Min,0.0
DATA_LEAK,Idle Mean,0.0
DATA_LEAK,Idle Std,0.0
DATA_LEAK,Idle Max,3.290848096382977e-05
DATA_LEAK,Idle Min,0.0
DATA_LEAK,Inbound,0.23496140158000134
