experiment_type,classifier,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,balanced_accuracy_mean,balanced_accuracy_std
CLEAN_DATA,Gaussian Naive Bayes,0.689121712575108,0.04405272539992839,0.66767,0.024209545638032973,0.6209158187893264,0.016933988997748933,0.66767,0.024209545638032973
CLEAN_DATA,K-Nearest Neighbors,0.8787071427431506,0.00426641170335461,0.8445500000000001,0.0016014056325616018,0.8282035649979091,0.0015492484896209597,0.8445500000000001,0.0016014056325616018
CLEAN_DATA,Decision Tree,0.8953766840314918,0.009658779395373946,0.8500499999999999,0.0020086064821164067,0.8314981139148572,0.0025832742281340004,0.8500499999999999,0.0020086064821164067
DATA_LEAK,Gaussian Naive Bayes,0.8773704455545118,0.005669676813876929,0.8029,0.00395120234865289,0.7466006652747501,0.005324255987907436,0.8029,0.00395120234865289
DATA_LEAK,K-Nearest Neighbors,0.8314422216660446,0.0025514696933660987,0.83066,0.002548411269791412,0.8304550731547083,0.002432322698204415,0.83066,0.002548411269791412
DATA_LEAK,Decision Tree,0.8963503538048535,0.013253913714826515,0.85274,0.0015454449197561061,0.8355748830666,0.002439641441381955,0.85274,0.0015454449197561061
